"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","class"
0.388207,0.418263,0.415414,0.249695,0.166165,0.321054,0.180778,0.663028,0.079324,0.241622,0.18954,0.444873,0.173584,0.498991,0.818314,0.348559,0.207845,0.023014,0.576134,0.195162,0.478445,0.336789,0.432882,0.188556,0.106236,0.441027,0.242151,0.064654,0.29778,0.010204,0.580336,0.760461,0.257888,0.111524,0.119093,0.209948,0.21296,0.079251,0.262831,0.212186,0.155388,0.229042,0.346134,0.711394,0.1274,0.221112,0.47499,0.380618,0.350529,0.038701,"1"
0.360481,0.405859,0.392335,0.843449,0.355008,0.096142,0.099689,0.518194,0.603133,0.654755,0.194732,0.603055,0.18921,0.152054,0.807661,0.3539,0.414375,0.894163,0.798677,0.192534,0.232088,0.354307,0.696115,0.334177,0.114717,0.631087,0.427655,0.303938,0.21691,0.055355,0.16201,0.542492,0.220003,0.146004,0.165509,0,0.212772,0.304512,0.328494,0.401393,0.191114,0.280957,0.523605,0.769438,0.238725,0.325686,0.083487,0.214918,0.206079,0.003453,"1"
0.213046,0.242643,0.239715,0.616159,0.030531,0.278373,0.086674,0.623431,0.690432,0.079187,0.245632,0.652889,0.102473,0.046104,0.187121,0.250208,0.071503,0.010864,0.608985,0.338174,0.266796,0.359485,0.397213,0.277659,0.409477,0.331957,0.698656,0.045013,0.298,0.024214,0.587253,0.691355,0.153625,0.20316,0.16832,0.243791,0.184565,0.551017,0.494526,0.211504,0.454524,0.373201,0.121367,0.265801,0,0.195662,0.155977,0.384299,0.190213,0.133931,"1"
0.377702,0.490183,0.338349,0.588587,0.367612,0.267544,0.294292,0.642137,0.036712,0.007286,0.390131,0.423561,0.465965,0.464457,0.441053,0.672019,0.258861,0.001968,0.326061,0.158405,0.378607,0.3664,0.465053,0.276912,0.463782,0.363518,0.295256,0.454226,0.327668,0.004211,0.105651,0.347427,0.525776,0.458103,1,0.245126,0.205312,0.38718,0.320744,0.178455,0.116981,0.290506,0.438476,0.229827,0.681388,0.057202,0.322153,0.036731,0.160601,0.107047,"1"
0.717767,0.561682,0.473177,0.948812,0.368098,0.279425,0.424189,0.560066,0.343682,0.094951,0.250096,0.527867,0.542121,0.01387,0.20456,0.860923,0.552754,0.013266,0.253657,0.070548,0.172814,0.238191,0.334127,0.220158,0.453546,0.136065,0.369298,0.465179,0.380814,0.020392,0.165188,0.32632,0.597982,0.639695,0.810067,0.910329,0.1642,0.002633,0.022419,0.001295,0.195461,0.079839,0.464283,0.113199,0.549733,0.019084,0.483839,0.00511,0.245017,0.26673,"1"
0.202759,0.285668,0.414284,0.613649,0.032515,0.429628,0.319396,0.674322,0.677361,0.295308,0.294953,0.363476,0.271543,0.021112,0.607157,0.225923,0.057011,0.138392,0.397077,0.192557,0.749137,0.281983,1,0.368831,0.509234,0.455354,0.374375,0.009353,0.480093,0.297621,0.154342,0.533285,0.255684,0.072491,0.227241,0.107564,0.347052,0.541552,0.661226,0.282052,0.635864,0.599367,0.22511,0.319393,0.357644,0.425502,0.197517,0.2999,0.476176,0.075702,"1"
0.281416,0.299944,0.258195,0.212991,0.52976,0.312047,0.420876,0.716131,0.314359,0.02734,0.289855,0.388853,0.632525,0.01811,0.452595,0.303659,0.150502,0.014345,0.075532,0.144783,0.356325,0.377783,0.528292,0.110887,0.402761,0.047646,0.370256,0.427104,0.396356,0.014053,0.088752,0.372924,0.669498,0.311904,0.323671,0.278345,0.209639,0.050765,0.156096,0.001034,0.113503,0.230777,0.418579,0.518782,0.3494,0.464037,0.464136,0.028004,0.13313,0.314593,"1"
0.405444,0.311976,0.241349,1,0.160842,0.238374,0.238033,0.542357,1,0.307419,0.239609,0.706582,0.218402,0.503058,0.644486,0.377416,0.086349,1,0.655604,0.208348,0.680829,0.243407,0.397752,0.132421,0.495565,0.442299,0.628132,0.082687,0.355951,0.287144,0.339383,0.58339,0.205414,0.095532,0.62133,0.071244,0.499472,0.203368,0.328184,0.226938,0.591568,0.306993,0.287593,0.437997,0.215168,0.572646,0.326551,0.24684,0.376479,0.029265,"1"
0.366543,0.427448,0.233584,0.60534,0.245271,0.291428,0.261488,0.499033,0.827425,0.222906,0.445689,0.486484,0.359203,0.262419,0.674196,0.380115,0.137244,0.392134,0.447069,0.241749,0.492187,0.222466,0.653758,0.110227,0.40114,0.547391,0.489459,0.055668,0.381964,0.068076,0.204649,0.428053,0.319123,0.042961,0.17043,0.113163,0.261441,0.260955,0.459142,0.473784,0.158695,0.485223,0.553126,0.911854,0.283449,0.637406,0.121284,0.678067,0.203529,0,"1"
0.136577,0.168526,0.222315,0.469076,0.019828,0.36657,0.261094,0.583975,0.361066,0.361616,0.350632,0.954517,0.189891,0.890088,0.873549,0.369588,0.058535,0.092732,0.635139,0.164623,0.714372,0.265761,0.416846,0.224739,0.242127,0.642229,0.344538,0.012473,0.358069,0.04531,0.159266,0.76121,0.217647,0.038137,0.226409,0.176882,0.44783,0.590436,0.431787,0.410012,0.785457,0.131038,0.398595,0.324205,0.236795,0.304381,0.230129,0.253013,0.194947,0.049655,"1"
0.162795,0.199758,0.514468,0.503297,0.387057,0.419381,0.387762,0.559552,0.493457,0.057805,0.100467,0.625484,0.138558,0.524948,0.881539,0.558459,0.06063,0.324854,0.601171,0.169258,0.313796,0.22652,0.438654,0.393388,0.469397,0.630574,0.319016,0.244641,0.410703,0.364809,0.109918,0.614152,0.177557,0.048147,0.094737,0.171862,0.548837,0.109747,0.25721,0.129897,0.154791,0.499049,0.573761,0.682543,0.523622,0.353987,0.37091,0.453757,0.284404,0.052027,"1"
0.101449,0.059495,0.16872,0.524602,0.398133,0.494093,0.558646,0.705767,0.369231,0.313408,0.432459,0.480481,0.217195,0.64731,0.675365,0.295069,0.07042,0.255549,0.54083,0.169821,0.588938,0.454287,0.499491,0.215666,0.427962,0.364198,0.456659,0.046394,0.534669,0.572946,0.183665,0.789753,0.354026,0.068408,0.176066,0.018125,0.345482,0.167838,0.253996,0.382412,0.592602,0.45337,0.569097,0.410878,0.163866,0.871179,0.315324,0.318074,0.749782,0.058811,"1"
0.071114,0.093664,0.374661,0.932463,0.046561,0.103453,0.165506,0.500574,0.932375,0.193432,0.105457,0.593194,0.095324,0.337254,0.610592,0.516207,0.280479,0.43187,0.945568,0.108989,0.566565,0.097076,0.493112,0.291714,0.407093,0.673938,0.366274,0.472216,0.182169,0.132916,0.126208,0.751357,0.126562,0.163873,0.066021,0.356406,0.202238,0.084522,0.646717,0.26425,0.256285,0.109452,0.260277,0.290129,0.199616,0.153377,0.576168,0.145674,0.316924,0.03479,"1"
0.400114,0.438642,0,0.446535,0.065966,0.223814,0.075046,0.450071,0.047942,0.176551,0.17648,0.495759,0.42074,0.053329,0.453182,0.396689,0.14446,0.023685,0.312953,0.188808,0.578813,0.357189,0.576263,0.091099,0.243392,0.25679,0.436845,0.013878,0.227919,0.007292,0.053317,0.273259,0.526283,0.093497,0.255108,0.017003,0.201557,0.349518,0.565457,0.265074,0.062931,0.495181,0.267177,0.105664,0.299121,0.051377,0.645193,0.05629,0.513308,0.258315,"1"
0.033384,0.06307,0.327919,0.347785,0.04767,0.260451,0.026341,0.430603,0.624165,0.571257,0.274061,0.725327,0.135078,0.565259,0.426408,0.209279,0.15611,0.257778,0.593921,0.10038,0.708252,0.222219,0.540575,0.068177,0.201977,0.5084,0.262885,0.229085,0.215877,0.396672,0.173186,1,0.245206,0.051515,0.362549,0.27829,0.406113,0.06862,0.387758,0.25177,0.288101,0.070801,0.251095,0.690686,0.247563,0.361451,0.596366,0.407518,0.310999,0.118916,"1"
0.385074,0.545107,0.397076,0.05261,0.307687,0.39353,0.641534,0.487051,0.359717,0.048212,0.378779,0.695933,0.19524,0.030483,0.557889,0.302147,0.159368,0.015324,0.781389,0.018679,0.274013,0.34713,0.659933,0.460153,0.490752,0.337784,0.366814,0.088949,0.571556,0.023115,0,0.361996,0.167168,0.012054,0.187199,0.016967,0.130952,0.052225,0.369407,0.15644,0.105907,0.374416,0.803249,0.280516,0.458137,0.0164,0.299262,0.031282,0.150506,0.169635,"1"
0.258544,0.251358,0.320131,0.253085,0.376157,0.481242,0.117999,0.462427,0.672194,0.056595,0.213485,0.541062,0.212837,0.707013,0.953584,0.256723,0.049665,0.009464,0.54922,0.170839,0.677311,0.229229,0.61045,0.590573,0.243014,0.479598,0.246496,0.189388,0.192379,0.000652,0.129904,0.51505,0.165917,0.16197,0.157475,0.22859,1,0.217916,0.263149,0.284583,0.451446,0.302479,0.347467,0.719992,0.291756,0.472074,0.293776,0.226904,0.226934,0.060304,"1"
0.160012,0.140241,0.206443,0.573278,0.172029,0.209642,0.334682,0.552949,0.83006,0.39673,0.163099,0.510484,0.371113,0.063491,0.239778,0.16179,0.162992,0.278739,0.566639,0.617734,0.483023,0.330796,0.373004,0.246449,0,0.146281,0.480727,0.031325,0.371081,0.130787,0.163246,0.907779,0.423717,0.145067,0.353703,0.1336,0.400812,0.114853,0.458376,0.28219,0.178935,0.197063,0.090316,0.373682,0.002491,0.07005,0.533375,0.494892,0.261527,0.26277,"1"
0.198072,0.195291,0.078083,0.775864,0.652554,0.109949,0.032489,0.522607,0.456493,0.504639,0.156852,0.52946,0.092828,0.319175,0.385149,0.578363,0.163987,0.453374,0.644785,0.15789,0.535918,0,0.584262,0.430934,0.216195,0.48197,0.312941,0.338981,0.250211,0.193523,0.055698,0.571888,0.141752,0.505395,0.307799,0.020936,0.049551,0.317836,0.649703,0.25412,0.091889,0.082043,0.199541,0.17142,0.173447,0.082946,0.954947,0.117297,0.512017,0.043839,"1"
0.150737,0.278941,0.345891,0.165545,0.208971,0.326428,0.200226,0,0.130731,0,0.356891,0.401844,0.543282,0.090897,0.157564,0,0.091599,0.001386,0.045188,0.486998,0.007299,0.71434,0.457204,0.008151,0.365918,0,0.196406,0.072296,0.27037,0.020504,0.88458,0.150548,0,0.160824,0.128945,0.121404,0.027066,0.001999,0.184422,0,0.435329,0.797397,0.406903,0,0.276345,0.047898,0.050342,0.004213,0.694108,1,"1"
0.041352,0.028403,0.022718,0.522925,0.650901,0.614235,0.112332,0.594697,0.92227,0.394329,0.144961,0.674333,0.2497,0.290807,0.638809,0.247576,0,0.513403,0.616021,0.06303,0.49838,0.139092,0.479674,0.034301,0.405595,1,0.25806,0.016959,0.340874,0.143059,0.214334,0.550278,0.32679,0.030523,0.729617,0.022808,0.506435,0.379239,0.55245,0.168674,0.6499,0.278362,0.231001,0.911242,0.806937,0.670336,0.249659,0.639212,0.311207,0.078131,"1"
0.097321,0.135245,0.175597,0.341071,0.025378,0.129992,0.097289,0.68544,0.790644,1,0.382966,0.508083,0.167746,0.562285,0.278417,0.19123,0.027203,0.020023,0.217007,0.595623,0.302148,0.12063,0.883372,0.274065,0.114316,0.336698,0.292688,0.018476,0.163844,0.26674,0.304425,0.542333,0.158025,0.058735,0.220245,0.091932,0.188327,0.448659,0.295723,0.407569,0.30984,0.492447,0.134351,0.3847,0.070663,0.508371,0.899619,0.971456,0.122753,0.056347,"1"
0.290141,0.541203,0.282781,0.548294,0.209993,0.091039,0.27342,0.448878,0.48836,0.311958,0.505992,0.891878,0.371347,0.040404,0.593438,0.340916,0.049255,0.002281,0.852511,0.432268,0.414421,0.670808,0.543526,0.477745,0.301915,0.426403,0.348986,0.016493,0.293802,0.281933,0.159149,0.646312,0.243408,0.009774,0.108309,0.096596,0.425961,0.516795,0.401113,0.662736,0.528641,0.241392,0.224071,0.725344,0.252728,0.246073,0.218034,1,0.110975,0.350509,"1"
0,0,0.105266,0.264712,0,0.939127,0.052242,0.468689,0.2272,0.594595,0.419638,0.508369,0.226773,0.022045,1,0.048635,0.047678,0.04105,0.620028,0.643754,0.755807,0.242487,0.46404,0.318823,0.024377,0.370185,0,0.02428,0.207863,1,0.192125,0.37815,0.396486,0.060988,0.412394,0.024536,0.626554,0.143853,1,0.443127,0.358302,0.167491,0.204293,0.470588,0.093582,0.604355,0.206022,0.213071,1,0.114494,"1"
0.177367,0.16226,0.321027,0.152934,0.469576,0.18727,0.5342,0.549308,0.431885,0.009911,0.003096,0.551284,0.348482,0.155071,0.254545,0.155299,0.084622,0.009707,0.582976,1,0.16464,0.48002,0.662392,1,0.501955,0.23636,0.199488,0.284201,0.482163,0.018748,0.11382,0.413545,0.320437,0.464298,0.155021,0.176683,0.463748,0.339877,0.28804,0.3203,0.117914,0.356673,0.386955,0.080566,0.397166,0.015349,0.236952,0.002891,0.71054,0.014851,"1"
0.142027,0.130144,0.445732,0.508274,0.403675,0.493244,0.275771,0.398604,0.757346,0.027647,0.359865,0.702599,0.163838,0.380618,0.599118,0.377708,0.087896,0.012065,0.579218,0.197337,0.275442,0.255861,0.484526,0.335898,0.162806,0.303324,0.400729,0.149747,0.310683,0.070202,0.106918,0.673956,0.235404,0.084601,0.205188,0.250903,0.379003,0.057671,0.298956,0.471906,0.783191,0.006673,0.333693,0.388396,0.57735,0.504383,0.413932,0.089373,0.340748,0.177568,"1"
0.156305,0.149795,0.094429,0.701292,0.108698,0.253024,0.274522,0.476213,0.486043,0.040101,0.090224,0.797571,0.142838,0.597086,0.518148,0.372959,0.052041,0.183811,0.731838,0.09961,0.850931,0.045306,0.499635,0.289334,0.250823,0.954789,0.219398,0.044388,0.290712,0.505454,0.1874,0.771678,0.162312,0.115127,0.439783,0.069756,0.325789,0.580599,0.37795,0.201845,0.620661,0.691617,0.323701,0.259717,0.178909,0.412564,1,0.127749,0.53682,0.100439,"1"
0.149534,0.15653,0.299978,0.829719,0.252463,0.226229,0.542801,0.65867,0.800889,0.181748,0.044896,0.761278,0.020998,0.396736,0.49359,0.439022,0.055337,0.338785,0.922257,0.486178,0.276033,0.447625,0.34218,0.03458,0.503497,0.788373,0.685395,0.091294,0.52309,0.362589,0.148489,0.663438,0.143233,0.030562,0.356112,0.107397,0.61797,0.382648,0.325462,0.550864,0.784351,0.048496,0.001531,0.577111,0.04192,0.339404,0.330076,0.642352,0.448592,0.005137,"1"
0.522724,0.576687,0.22271,0.970942,0.553256,0.301728,0.216396,0.713575,0.381194,0.019225,0.292277,0.642404,0.128758,0.32435,0.602314,0.40971,0.092138,0.023862,0.20126,0.209221,0.153198,0.317657,0.70837,0.427905,0.53054,0.542064,0.38943,0.30215,0.260887,0.02519,0.254849,0.366134,0.223067,0.28812,0.053535,0.294228,0.108633,0.192207,0,0.262762,0.798531,0.269546,0.684018,0.516816,0.195659,0.071772,0.221758,0.192967,0.37161,0.134402,"1"
0.176239,0.234702,0.545112,0.048106,0.054986,0.395304,0.473534,0.600464,0.03225,0.025854,0.831605,0.349732,0.372244,0.088386,0.273805,0.377366,0.292702,0.002984,0.07699,0.204844,0.23012,0.288766,0.424856,0.005072,0.444261,0.077697,0.679996,0,0.485977,0.005456,0.084637,0.343002,0.56109,0.055384,0.166617,0.14442,0.061623,0.034475,0.041197,0.000287,0.126675,0.290505,0.497159,0.243147,1,0.01923,0.064053,0.048226,0.040512,0.371152,"2"
0.147341,0.22161,0.52805,0.117281,0.56962,0.618162,0.459444,0.595889,0.413732,0.01109,0.344024,0.570403,0.670089,0.138865,0.609069,0.415836,0.445519,0.011402,0.12821,0.078568,0.216354,0.454815,0.384922,0.173753,0.456564,0.463214,0.382105,0.507973,0.416792,0.032252,0.044339,0.453123,0.631303,0.188033,0.261684,0.37189,0.091922,0.324216,0.047509,0.162623,0.17108,0.638014,0.539136,0.565367,0.462324,0.029028,0.085725,0,0.077384,0.205852,"2"
0.398846,0.33968,0.249257,0.496439,0.450252,0.212543,0.434118,0.6104,0.024613,0.019693,0.379827,0.502024,0.229962,0.367145,0.346326,0.215713,0.240971,0.015713,0.319954,0.136099,0.143309,0.503769,0.422259,0.384759,0.65308,0.689507,0.136645,0.298118,0.406275,0.011276,0.103674,0.283455,0.202349,0.160605,0.109268,0.351109,0.661154,0.363784,0.324839,0.166663,0.200769,0,0.371724,0.094157,0.514156,0.033606,0.518383,0.047825,0.178738,0.13965,"2"
0.362186,0.247794,0.589076,0.978062,0.36802,0.567603,0.706547,0.659591,0.101272,0.014931,0.211911,0.681629,0.133209,0.192869,0.635477,0.42401,0.117001,0.000997,0.518126,0.049504,0.403683,0.257427,0.354825,0.026739,0.552439,0.229116,0.432485,0.401802,0.70584,0.005162,0.002568,0.358175,0.24012,0.159696,0.153015,0.21466,0.571368,0.029502,0.02762,0.023692,0.083146,0.414764,0.688701,0.184175,0.475229,0.012498,0.08754,0.049592,0.229971,0.20736,"2"
0.456702,0.566742,0.341756,0.193421,0.611939,0.568241,0.282385,0.869432,0.043703,0.034487,0.528992,0.193967,0.755445,0.199831,0.351455,0.718701,0.26417,0.020911,0.140127,0.13211,0,0.89313,0.390655,0.134271,0.305255,0.255909,1,0.155212,0.350034,0.022868,0.069217,0.428678,0.726816,0.281851,0.118197,0.30599,0.083226,0.689367,0.500462,0.230873,0.093424,0.570419,0.583394,0.128495,0.514541,0.000456,0.049377,0.045779,0.160496,0.269037,"2"
