"zone=1","zone=2","zone=3","zone=4","area","population","language=1","language=2","language=3","language=4","language=5","language=6","language=7","language=8","language=9","language=10","bars","stripes","colours","red=0","green=0","blue=0","gold=0","white=0","black=0","orange=0","mainhue=black","mainhue=brown","mainhue=orange","mainhue=white","mainhue=blue","mainhue=gold","mainhue=red","mainhue=green","circles","crosses","saltires","quarters","sunstars","crescent=0","triangle=0","icon=0","animate=0","text=0","topleft=black","topleft=brown","topleft=orange","topleft=white","topleft=blue","topleft=gold","topleft=red","topleft=green","botright=black","botright=brown","botright=orange","botright=white","botright=blue","botright=gold","botright=red","botright=green","landmass=1","landmass=2","landmass=3","landmass=4","landmass=5","landmass=6","class"
1,0,0,0,0.00375,0.007937,0,0,0,1,0,0,0,0,0,0,0,0.214286,0.142857,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
0,0,0,1,0.000848,0,1,0,0,0,0,0,0,0,0,0,0,0.214286,0.285714,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"1"
1,0,0,0,4.5e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"2"
1,0,0,0,0.006383,0.089286,0,0,0,0,0,1,0,0,0,0,0,0,0.142857,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0.25,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"2"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6,0,0.285714,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"1"
1,0,0,0,0.001384,0.009921,0,0,0,0,0,1,0,0,0,0,0.6,0,0.285714,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
0,0,0,1,0.001027,0,1,0,0,0,0,0,0,0,0,0,0,0.142857,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"1"
1,0,0,0,0.005044,0.002976,0,0,1,0,0,0,0,0,0,0,0,0,0.142857,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"5"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.25,0.5,1,0.25,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"1"
1,0,0,0,0.002098,0.000992,0,0,0,0,0,0,0,0,0,1,0,0,0.428571,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"3"
0,0,1,0,0.049058,0.005952,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.285714,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"0"
0,1,0,0,0.026783,0.000992,0,0,0,0,0,0,0,0,0,1,0,0.357143,0.285714,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"5"
0,0,1,0,0.379966,0.118056,0,0,0,0,0,1,0,0,0,0,0,0,0.428571,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.25,0,0,0,0.44,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"0"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,1,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"1"
1,0,0,0,0.000268,0,0,0,0,0,0,0,0,0,0,1,0,0,0.428571,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,0,0,0,0.004955,0.008929,0,0,0,0,1,0,0,0,0,0,0,0.214286,0.571429,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"6"
0,0,0,1,0.012231,0.006944,0,0,1,0,0,0,0,0,0,0,0,0.142857,0.285714,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"5"
1,0,0,0,0.030265,0.034722,0,0,0,0,0,0,0,0,0,1,0,0,0.285714,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.25,0.28,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"3"
0,1,0,0,0.00125,0.003968,0,0,0,0,0,0,0,0,0,1,0,0,0.285714,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0.25,0,1,0,0.06,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"5"
1,0,0,0,0.021159,0.007937,0,0,1,0,0,0,0,0,0,0,0.6,0,0.285714,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"1"
0,0,0,1,0.445317,0.02381,1,0,0,0,0,0,0,0,0,0,0.4,0,0.142857,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"1"
0,0,0,1,0.000179,0,0,0,0,0,0,1,0,0,0,0,0.2,0.142857,0.571429,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.02,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"0"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.25,0.5,1,0.25,0.08,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"1"
1,0,0,0,0.02781,0.001984,0,0,0,0,0,0,0,0,0,1,0.2,0,0.571429,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"5"
1,0,0,0,0.057316,0.003968,0,0,1,0,0,0,0,0,0,0,0.6,0,0.285714,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"5"
0,0,1,0,0.033792,0.010913,0,1,0,0,0,0,0,0,0,0,0,0.142857,0.285714,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.25,0.02,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
1,0,0,0,0.426792,1,0,0,0,0,0,0,1,0,0,0,0,0,0.142857,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"6"
0,0,0,1,0.050844,0.027778,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.285714,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
0,1,0,0,8.9e-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0.142857,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.08,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"2"
0,1,0,0,0.015266,0.001984,0,0,0,0,0,0,0,0,0,1,0,0,0.285714,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"5"
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.428571,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0.25,0.5,1,0.25,0.3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"1"
0,0,0,1,0.002277,0.001984,0,1,0,0,0,0,0,0,0,0,0,0.357143,0.285714,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"0"
0,0,0,1,0.005133,0.009921,0,1,0,0,0,0,0,0,0,0,0,0.357143,0.285714,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.02,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"6"
1,0,0,0,0.000402,0.000992,0,0,0,0,0,1,0,0,0,0,0,0,0.285714,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1"
1,0,0,0,0.005714,0.014881,0,0,0,0,1,0,0,0,0,0,0,0,0.285714,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"6"
1,0,0,0,0.001919,0.00496,0,0,0,0,0,1,0,0,0,0,0,0,0.142857,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1"
1,0,0,0,0.000982,0,0,0,1,0,0,0,0,0,0,0,0,0,0.428571,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.02,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"2"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0,0,0,0.2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"1"
0,0,0,1,0.002187,0.005952,0,1,0,0,0,0,0,0,0,0,0,0,0.285714,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"0"
0,0,1,0,0.012677,0.007937,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.285714,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
1,0,0,0,0.044684,0.046627,0,0,0,0,0,0,0,1,0,0,0,0.214286,0.428571,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"2"
0,0,0,1,0.000937,0.00496,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.142857,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"0"
1,0,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,1,0,0.214286,0.428571,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"5"
1,0,0,0,0.054549,0.030754,0,0,0,0,0,0,0,0,0,1,0,0.214286,0.285714,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"1"
0,0,0,1,4.5e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0.285714,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.5,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1"
0,0,1,0,0.000536,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.25,0.5,1,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"1"
0,1,0,0,0.000803,0.000992,1,0,0,0,0,0,0,0,0,0,0,0,0.857143,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.25,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"1"
1,0,0,0,0.015043,0.00496,0,0,0,0,0,0,0,0,1,0,0,0,0.142857,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.5,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1"
1,0,0,0,0.024417,0.053571,0,0,1,0,0,0,0,0,0,0,0.6,0,0.285714,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
0,0,0,1,0.004062,0,0,0,1,0,0,0,0,0,0,0,0.6,0,0.285714,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
0,0,1,0,0.000179,0,0,0,1,0,0,0,0,0,0,0,0,0.214286,0.571429,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.25,0,0,0,0.02,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"0"
0,1,0,0,0.011963,0.000992,0,0,0,0,0,0,0,0,0,1,0,0.214286,0.285714,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"5"
0,0,0,1,0.000446,0.000992,1,0,0,0,0,0,0,0,0,0,0,0.357143,0.428571,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"5"
1,0,0,0,0.004821,0.016865,0,0,0,1,0,0,0,0,0,0,0,0.214286,0.285714,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"6"
1,0,0,0,0.011115,0.060516,0,0,0,1,0,0,0,0,0,0,0,0.214286,0.285714,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"1"
0,0,0,1,0.010669,0.013889,1,0,0,0,0,0,0,0,0,0,0,0.214286,0.428571,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"5"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.071429,0.285714,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1"
1,0,0,0,0.005892,0.009921,0,0,0,0,0,1,0,0,0,0,0,0.642857,0.142857,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.5,0,0.25,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1"
0,0,0,1,0.097134,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0.25,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"1"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.285714,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.25,0,0,0,0.14,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"1"
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.857143,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"1"
0,0,0,1,0.004866,0.007937,0,1,0,0,0,0,0,0,0,0,0.6,0,0.142857,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"0"
0,0,0,1,0.010981,0.005952,0,0,1,0,0,0,0,0,0,0,0.6,0,0.285714,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"2"
0,0,0,1,0.001607,0.000992,0,0,0,0,0,1,0,0,0,0,0.2,0.142857,0.428571,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"5"
0,0,0,1,0.009597,0.000992,1,0,0,0,0,0,0,0,0,0,0,0,0.571429,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"4"
0,0,0,1,0.00125,0.005952,0,0,1,0,0,0,0,0,0,0,0.4,0,0.142857,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"0"
0,0,0,1,0.005,0.003968,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.142857,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"0"
1,0,0,0,4.5e-05,0.00496,0,0,0,0,0,0,1,0,0,0,0,0,0.714286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.25,0.5,1,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"3"
1,0,0,0,0.004151,0.010913,0,0,0,0,0,0,0,0,1,0,0,0.214286,0.285714,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"6"
0,0,0,1,0.004598,0,0,0,0,0,0,1,0,0,0,0,0,0,0.285714,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1"
1,0,0,0,0.14588,0.678571,0,0,0,0,0,1,0,0,0,0,0,0.214286,0.428571,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"4"
0,1,0,0,0.084992,0.155754,0,0,0,0,0,0,0,0,0,1,0,0.142857,0.142857,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"2"
1,0,0,0,0.073565,0.03869,0,0,0,0,0,1,0,0,0,0,0,0.214286,0.285714,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"2"
1,0,0,0,0.019418,0.013889,0,0,0,0,0,0,0,1,0,0,0,0.214286,0.428571,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.06,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,0,0,1,0.003125,0.002976,1,0,0,0,0,0,0,0,0,0,0.6,0,0.285714,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0"
1,0,0,0,0.000937,0.003968,0,0,0,0,0,0,0,0,0,1,0,0.142857,0.142857,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"7"
1,0,0,0,0.013436,0.056548,0,0,0,0,0,1,0,0,0,0,0.6,0,0.285714,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
0,0,0,1,0.014418,0.006944,0,0,1,0,0,0,0,0,0,0,0.6,0,0.285714,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"5"
0,0,0,1,0.000491,0.001984,1,0,0,0,0,0,0,0,0,0,0,0,0.285714,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"1"
