"att1","att2","att3","att4","att5","att6","att7","att8","att9","att10","att11","att12","att13","att14","att15","att16","att17","att18","att19","class"
0.47431,0.425,9,0,0,0.05894,0.00154,0.06584,0.0011,0.14123,0.14587,0.16863,0.10756,0.8209,0.29647,0.32638,0.16863,0.39659,0.24486,2
0.37154,0.19167,9,0,0,0.06274,0.00344,0.0472,0.00124,0.18332,0.1799,0.22828,0.13874,0.75187,0.39059,0.24478,0.22828,0.42569,0.21911,2
0.54941,0.05833,9,0,0,0.03422,0.00148,0.02484,9e-05,0.89233,0.859,0.9433,0.86906,0.31903,0.58706,0.36812,0.9433,0.1725,0.11577,3
0.55731,0.09167,9,0,0,0.01711,0.00063,0.01118,0.00025,0.77098,0.70583,0.85272,0.74591,0.13806,0.70588,0.36053,0.85272,0.24778,0.1068,3
0.25692,0.125,9,0,0,0.02091,0.00033,0.0087,0.00024,0.76478,0.69368,0.8542,0.73733,0.09888,0.74118,0.34345,0.8542,0.26205,0.10735,3
0.64822,0.36667,9,0,0,0.03042,0.00048,0.01739,0.00034,0.65117,0.57618,0.78203,0.58379,0.10821,0.91294,0.05693,0.78203,0.33042,0.14042,3
0.89723,0.0375,9,0,0,0.03612,0.00049,0.01863,0.00054,0.87142,0.83144,0.93152,0.84489,0.27985,0.62588,0.34535,0.93152,0.18889,0.11687,3
0.48617,0.075,9,0,0,0.03422,0.00072,0.0236,0.00065,0.89543,0.86953,0.94698,0.86438,0.3694,0.59059,0.3112,0.94698,0.16562,0.12978,3
0.61265,0.0875,9,0,0,0.02662,0.00016,0.05839,0.00075,0.95017,0.94652,0.96981,0.93141,0.5056,0.45059,0.39848,0.96981,0.11306,0.12816,3
0.07905,0.32917,9,0,0,0.02281,4e-05,0.01739,0.00041,0.79112,0.77229,0.85199,0.74357,0.45149,0.61059,0.19545,0.85199,0.1797,0.15887,3
0.02767,0.11667,9,0.33333,0,0.04753,0.00114,0.04099,5e-04,0.79034,0.74797,0.87482,0.74045,0.28918,0.72353,0.17837,0.87482,0.22295,0.14203,3
0.47826,0,9,0,0,0.03422,0.00031,0.0646,0.00364,1,0.99838,1,1,0.50373,0.36824,0.53321,1,0.09277,0.08772,3
0.16996,0.28333,9,0,0,0.01521,0.00035,0.01739,0.00029,0.7511,0.68476,0.83873,0.72097,0.13619,0.72941,0.32448,0.83873,0.25808,0.11184,3
0.02372,0.02917,9,0,0,0.04373,0.00074,0.02112,0.00027,0.96643,0.97245,0.97791,0.947,0.56716,0.41529,0.39279,0.97791,0.09635,0.13927,3
0.73913,0.12917,9,0,0,0.02662,0.00055,0.03727,0.00091,0.75936,0.69773,0.83652,0.73578,0.16604,0.68118,0.37192,0.83652,0.24193,0.1064,3
0.59684,0.02917,9,0,0,0.02662,0.00046,0.01242,2e-04,0.78156,0.70908,0.86451,0.76228,0.08396,0.71412,0.40228,0.86451,0.25467,0.09891,3
0.47036,0.2625,9,0,0,0.01141,9e-05,0.01118,6e-05,0.71004,0.64992,0.81664,0.65394,0.19216,0.81059,0.13662,0.81664,0.27678,0.13827,3
0.56126,0.05417,9,0,0,0.04373,0.00091,0.01988,0.00082,0.88975,0.85818,0.93888,0.86672,0.33209,0.57765,0.37002,0.93888,0.1694,0.11666,3
0.71146,0.06667,9,0,0,0.02471,0.00047,0.01118,0.00018,0.96256,0.96677,0.97128,0.94778,0.55597,0.40118,0.42694,0.97128,0.09626,0.13089,3
0.41897,0.04167,9,0,0,0.02281,0.00052,0.02609,0.00029,0.88381,0.84441,0.94035,0.86048,0.27985,0.61176,0.36812,0.94035,0.18402,0.11312,3
0.88933,0.3,9,0,0,0.03042,0.00052,0.0236,0.00037,0.63181,0.54376,0.77467,0.5643,0.02425,0.96588,0.05693,0.77467,0.36206,0.13516,3
0.36364,0.075,9,0,0,0.04183,0.00124,0.03106,0.00114,0.89569,0.86791,0.94624,0.8675,0.35634,0.58588,0.33207,0.94624,0.16648,0.12531,3
0.2332,0.17083,9,0,0,0.02471,6e-04,0.01739,0.00053,0.77821,0.73663,0.85641,0.73422,0.29851,0.69059,0.22201,0.85641,0.21838,0.13674,3
0.70356,0.375,9,0,0,0.01521,0.00039,0.01366,0.00024,0.94061,0.9222,0.9757,0.91972,0.40672,0.52235,0.3833,0.9757,0.14111,0.12011,3
0.43874,0.07917,9,0,0,0.01901,0.00027,0.02733,0.00052,0.78957,0.73501,0.8623,0.76383,0.20522,0.66706,0.35484,0.8623,0.22538,0.11061,3
0.40316,0.22083,9,0,0,0.02281,0.00071,0.02981,0.00066,0.75833,0.70259,0.83652,0.72798,0.20709,0.68588,0.32258,0.83652,0.2368,0.11562,3
0.68379,0.1625,9,0,0,0.03422,0.00077,0.02112,0.00069,0.74903,0.69044,0.83358,0.71473,0.1903,0.71412,0.29412,0.83358,0.24734,0.11867,3
0.31225,0.12083,9,0,0,0.02091,0.00058,0.01615,0.00056,0.77175,0.70178,0.85493,0.74981,0.10448,0.71294,0.3833,0.85493,0.25405,0.10232,3
0.26087,0.25,9,0,0,0.05703,9e-04,0.03354,0.00022,0.87813,0.84279,0.93373,0.85191,0.3097,0.60588,0.34725,0.93373,0.17967,0.11826,3
0.35968,0.1875,9,0,0,0.01521,3e-05,0.01863,0.00041,0.87839,0.84522,0.93225,0.85191,0.32463,0.59765,0.34535,0.93225,0.17606,0.12044,3
0.26087,0.0875,9,0,0,0.03232,0.00107,0.03975,0.00095,0.87994,0.83955,0.94256,0.85113,0.27425,0.64,0.32827,0.94256,0.19063,0.11927,3
0.49012,0.14583,9,0.33333,0,0.02091,0.00062,0.04845,0.00056,0.86832,0.82253,0.93446,0.841,0.24067,0.65412,0.33966,0.93446,0.20012,0.11525,3
0.39526,0.45833,9,0.33333,0,0.02281,0.00085,0.03354,0.00064,0.02375,0.0081,0.03976,0.02182,0.71828,0.21412,0.56357,0.03976,0.84352,0.08814,4
0.07905,0.4625,9,0,0,0.01521,0.00041,0.00994,0.00029,0.00387,0,0.0081,0.00312,0.80597,0.15294,0.57306,0.0081,0.55556,0.10066,4
0.17391,0.325,9,0,0,0.02662,0.00034,0.01739,0.00034,0.01601,0.00081,0.04271,0.00234,0.72388,0.26353,0.47818,0.04271,0.98611,0.15449,4
0.06719,0.31667,9,0,0,0.05323,0.00198,0.04224,0.00126,0.0204,0.00891,0.03756,0.01325,0.74813,0.21882,0.52562,0.03756,0.86277,0.13677,4
0.20158,0.37917,9,0,0,0.02471,0.00051,0.01863,0.00041,0.02014,0.00486,0.04197,0.01169,0.72201,0.24118,0.51613,0.04197,0.89974,0.13136,4
0.20949,0.33333,9,0,0,0.04943,0.00155,0.01863,0.00018,0.02272,0.00405,0.05302,0.00857,0.69776,0.28235,0.47438,0.05302,0.94481,0.14395,4
0.31225,0.31667,9,0,0.5,0.8346,0.57778,1,1,0.47018,0.42869,0.52356,0.45284,0.39739,0.49882,0.43074,0.52356,0.30628,0.10443,4
0.54941,0.47083,9,0,0,0.03422,0.00045,0.02484,0.00076,0.01756,0.00162,0.0405,0.00857,0.71828,0.24588,0.51233,0.0405,0.97377,0.13039,4
0.26877,0.53333,9,0,0,0.09696,0.00179,0.0472,0.0012,0.126,0.11669,0.14948,0.1099,0.72948,0.27412,0.45541,0.15832,0.38661,0.22518,4
0.03162,0.2875,9,0,0,0.10076,0.01387,0.37267,0.05158,0.16473,0.12642,0.20987,0.15355,0.51679,0.38706,0.48956,0.20987,0.51425,0.10285,4
0.01976,0.29167,9,0,0.5,0.14068,0.00881,0.12795,0.02056,0.08701,0.05592,0.12518,0.07638,0.59142,0.33529,0.49715,0.12518,0.62816,0.11006,4
0.28854,0.49167,9,0,0,0.0076,3e-05,0.00248,2e-05,0.00361,0,0.01031,0,0.80784,0.16471,0.55218,0.01031,1,0.15945,4
0.1581,0.26667,9,0,0.5,0.52662,0.0193,0.59503,0.02288,0.38342,0.34603,0.43373,0.36555,0.45336,0.46353,0.43074,0.43373,0.2978,0.1154,4
0.13834,0.55833,9,0,0,0.00951,2e-04,0.02857,0.00149,0.00594,0.00243,0.00957,0.00546,0.80784,0.15059,0.57495,0.00957,0.25185,0.08616,4
0.36759,0.55417,9,0,0,0.01521,0.00012,0.01118,0.00012,0.008,0,0.02283,0,0.77612,0.20471,0.51992,0.02283,1,0.15945,4
0.06719,0.32917,9,0,0,0.03612,0.00038,0.01491,0.00016,0.01962,0.00405,0.04566,0.00701,0.72015,0.26118,0.48577,0.04566,0.92615,0.14771,4
0.26482,0.38333,9,0,0,0.02281,0.00058,0.02484,0.00069,0.01498,0.00081,0.03756,0.00468,0.73134,0.24353,0.50285,0.03756,0.98765,0.14416,4
0.17391,0.40417,9,0,0.5,0.87262,0.0129,0.60994,0.01149,0.34728,0.3047,0.40501,0.32658,0.4291,0.49059,0.41176,0.40501,0.35898,0.11478,4
0.22925,0.36667,9,0,0,0.02662,0.00084,0.02236,0.00026,0.0142,0.00081,0.03682,0.00312,0.73694,0.24353,0.49715,0.03682,0.98611,0.15016,4
0.26087,0.52083,9,0,0,0.23004,0.00374,0.05963,0.00231,0.10818,0.06564,0.16789,0.08574,0.5056,0.44353,0.40987,0.16789,0.66081,0.12367,4
0.88933,0.4125,9,0,0,0.01141,9e-05,0.01118,0.00015,0.01162,0.00081,0.02946,0.00312,0.7556,0.22,0.51613,0.02946,0.97778,0.14911,4
0.90909,0.47083,9,0,0,0.11787,0.01509,0.04099,0.00464,0.02091,0.01053,0.03903,0.01169,0.7556,0.22353,0.51044,0.03903,0.89537,0.15533,4
0.40316,0.475,9,0,0,0.03232,0.00083,0.01863,5e-04,0.01239,0.00324,0.02577,0.00701,0.76679,0.19882,0.5389,0.02577,0.92381,0.13541,4
0,0.29167,9,0,0,0.41635,0.26969,0.20621,0.14813,0.14872,0.10211,0.2025,0.1364,0.46455,0.42471,0.48197,0.2025,0.59528,0.1017,4
0.90514,0.47083,9,0,0,0.00951,0.00011,0.00621,0.00011,0.00465,0,0.01325,0,0.80037,0.17412,0.54459,0.01325,1,0.15945,4
0.2253,0.40833,9,0,0,0.03042,0.00025,0.06335,0.00121,0.02995,0.01053,0.05596,0.02104,0.6903,0.26353,0.51233,0.05596,0.86448,0.12765,4
0.22925,0.45417,9,0,0,0.07414,0.002,0.0323,0.00135,0.13297,0.07699,0.21944,0.09509,0.40485,0.57765,0.29602,0.21944,0.68127,0.13647,4
0.54941,0.475,9,0,0,0.02281,0.00022,0.05963,0.00273,0.02737,0.01135,0.05155,0.01715,0.71455,0.25412,0.50285,0.05155,0.8532,0.13597,4
0.49802,0.55,9,0,0,0.05133,0.00012,0.01988,0.00044,0.02918,0.00648,0.06259,0.01559,0.66791,0.29882,0.47818,0.06259,0.91538,0.13208,4
0.08696,0.49167,9,0,0,0.01711,8e-05,0.0087,0.00011,0.00361,0,0.01031,0,0.80784,0.16471,0.55218,0.01031,0.77778,0.15945,4
0.75099,0.45,9,0,0,0.03802,0.0013,0.02112,0.00056,0.27782,0.26418,0.31959,0.2463,0.65112,0.39765,0.33586,0.31959,0.27172,0.17429,1
0.86166,0.2875,9,0,0,0.04373,0.00033,0.01491,0.00067,0.27679,0.26499,0.31959,0.2424,0.66418,0.40235,0.31499,0.31959,0.28296,0.18157,1
0.5336,0.14167,9,0,0,0.04183,0.00156,0.04596,0.0011,0.37,0.35089,0.42268,0.33203,0.58396,0.47176,0.28463,0.42268,0.25937,0.16759,1
0.25692,0.62083,9,0,0,0.10266,0.00408,0.06211,0.00031,0.15931,0.1329,0.20913,0.13172,0.60075,0.40824,0.37002,0.20913,0.42601,0.15201,1
0.74704,0.39167,9,0,0,0.06464,0.00232,0.04845,0.00121,0.31887,0.30065,0.37334,0.27825,0.60634,0.46824,0.26755,0.37334,0.29599,0.17595,1
0.14229,0.27917,9,0,0,0.03422,0.00018,0.05714,0.00207,0.30545,0.29984,0.34389,0.26968,0.69776,0.38824,0.30361,0.34389,0.25892,0.19442,1
0.77866,0.48333,9,0,0,0.08365,0.00442,0.1913,0.04295,0.28402,0.27715,0.31959,0.25253,0.6959,0.36941,0.33586,0.31959,0.249,0.19068,1
0.75099,0.375,9,0,0,0.03802,0.00079,0.02484,0.00086,0.31397,0.28444,0.3785,0.27358,0.52985,0.51529,0.26945,0.3785,0.32273,0.15946,1
0.95652,0.45417,9,0,0,0.15209,0.0044,0.03478,0.00132,0.33359,0.32658,0.37334,0.29774,0.6791,0.40118,0.30171,0.37334,0.24532,0.19028,1
0.90514,0.44167,9,0,0,0.11217,0.00094,0.0323,0.00062,0.27214,0.24473,0.3299,0.23694,0.55784,0.47294,0.3093,0.3299,0.33503,0.15746,1
0.59289,0.325,9,0,0,0.28707,0.00462,0.01615,0.00028,0.22102,0.19935,0.27172,0.18784,0.61381,0.42706,0.32638,0.27172,0.35127,0.16748,1
0.6917,0.37083,9,0,0,0.06654,0.00078,0.0323,0.00047,0.38601,0.3671,0.4433,0.34295,0.58022,0.49765,0.24668,0.4433,0.26862,0.17426,1
0.46245,0.47917,9,0,0,0.02281,4e-04,0.04099,0.00153,0.1433,0.1175,0.18999,0.11847,0.61007,0.38941,0.39089,0.18999,0.43708,0.14864,1
0.16206,0.19167,9,0,0,0.04753,0.00098,0.02236,0.00026,0.45804,0.43355,0.52651,0.40842,0.51866,0.56824,0.19545,0.52651,0.26678,0.17014,1
0.85375,0.57083,9,0,0,0.07034,0.00257,0.0236,0.00037,0.20269,0.1564,0.27541,0.16991,0.44963,0.52824,0.33017,0.27541,0.48377,0.13535,1
0.05138,0.5625,9,0.33333,0,0.03042,0.00048,0.02484,0.00053,0.07384,0.05835,0.10383,0.0569,0.70336,0.29294,0.45161,0.10383,0.48786,0.15701,1
0.083,0.31667,9,0,0,0.06464,0.00127,0.02609,0.00045,0.44642,0.40681,0.5324,0.39283,0.41791,0.64941,0.16698,0.5324,0.3097,0.15766,1
0.50988,0.0875,9,0,0,0.03802,0.00106,0.01863,6e-04,0.41467,0.39546,0.46981,0.37412,0.56903,0.49412,0.26376,0.46981,0.249,0.16817,1
0.63636,0.61667,9,0,0,0.07414,0.00097,0.04969,0.00105,0.18203,0.18395,0.19588,0.16524,0.78918,0.24118,0.44782,0.19588,0.20285,0.20844,1
0.58893,0.6125,9,0,0,0.07414,0.00165,0.03106,3e-04,0.05887,0.05105,0.081,0.04287,0.76119,0.25176,0.4592,0.081,0.50309,0.18479,1
0.64032,0.2375,9,0,0,0.06274,0.00223,0.03478,0.00069,0.39582,0.37925,0.45214,0.35152,0.59328,0.49529,0.23719,0.45214,0.26505,0.17793,1
0.73518,0.2875,9,0,0,0.04563,0.00072,0.02981,0.00051,0.28247,0.27553,0.31591,0.25331,0.6959,0.35882,0.35294,0.31591,0.24473,0.18492,1
0.54941,0.25833,9,0,0,0.05894,0.00083,0.01739,0.00072,0.32275,0.33306,0.33873,0.2954,0.80224,0.28471,0.36433,0.33873,0.17616,0.22875,1
0.92885,0.44167,9,0,0,0.02662,0.00041,0.02857,0.00054,0.31991,0.28849,0.38733,0.27825,0.51493,0.53059,0.25996,0.38733,0.33048,0.15859,1
0.43874,0.32917,9,0,0,0.25285,0.007,0.02857,0.00063,0.45443,0.42058,0.52872,0.40764,0.45522,0.59529,0.21632,0.52872,0.27835,0.15703,1
0.7747,0.45833,9,0,0,0.74144,0.01751,0.02112,0.00065,0.28608,0.2731,0.32769,0.25409,0.65299,0.39882,0.33207,0.32769,0.28058,0.17604,1
0.55336,0.025,9,0.33333,1,0.12738,0.00449,0.1118,0.00167,0.31087,0.29417,0.35788,0.2767,0.6194,0.43059,0.31499,0.35788,0.26819,0.17025,1
0.3083,0.07083,9,0,0,0.14639,0.00379,0.01863,0.00047,0.43506,0.38979,0.5243,0.38348,0.38246,0.66235,0.18216,0.5243,0.32456,0.15104,1
0.66403,0.37917,9,0,0,0.03422,0.00036,0.01988,0.00021,0.40589,0.38979,0.46171,0.36165,0.59328,0.49529,0.23719,0.46171,0.25976,0.17772,1
0.81818,0.225,9,0,0,0.04753,0.00125,0.5913,0.01842,0.3953,0.38412,0.4271,0.37178,0.6306,0.37765,0.38899,0.4271,0.19713,0.1802,1
0.74308,0.55417,9,0,0,0,0,0,0,0,0,0,0,0.83396,0.13176,0.57875,0,0,0.51105,0
0.74308,0.54167,9,0,0,0,0,0,0,0,0,0,0,0.83396,0.13176,0.57875,0,0,0.51105,0
0.82609,0.59167,9,0,0,0,0,0,0,0,0,0,0,0.83396,0.13176,0.57875,0,0,0.51105,0
0.22134,0.325,9,0,0,0.05894,0.00132,0.13789,0.00339,0.11851,0.09481,0.16274,0.09431,0.63246,0.37176,0.39658,0.16274,0.47749,0.15351,0
0.95652,0.34583,9,0,0,0.02281,0.00031,0.00497,2e-05,0.00826,0.00162,0.02135,0.00078,0.78545,0.19647,0.52372,0.02135,0.97778,0.16334,0
0.90119,0.3875,9,0,0,0.01711,0.00055,0.06335,0.00147,0.13788,0.11912,0.17305,0.11847,0.66045,0.33294,0.43074,0.17305,0.37553,0.15001,0
0.88933,0.5,9,0,0,0,0,0,0,0,0,0,0,0.83396,0.13176,0.57875,0,0,0.51105,0
0.77075,0.35,9,0,0,0.05894,0.00113,0.02981,0.00091,0.05319,0.04943,0.07143,0.03741,0.79104,0.23176,0.4611,0.07143,0.51257,0.21739,0
0.16601,0.5875,9,0,0,0.06654,0.00172,0.02733,6e-04,0.01059,0.00729,0.01915,0.00468,0.80784,0.17529,0.5351,0.01915,0.64868,0.1865,0
0.20949,0.50833,9,0,0,0.05323,0.00102,0.01118,0.00025,0.03744,0.02674,0.05965,0.02416,0.74813,0.24706,0.48008,0.05965,0.63047,0.16724,0
0.6166,0.30833,9,0,0,0.04183,0.00125,0.00497,0.00012,0.13194,0.10616,0.1782,0.10756,0.61381,0.38471,0.39469,0.1782,0.45902,0.14828,0
0.37549,0.34583,9,0,0,0.02471,0.00029,0.00994,0.00031,0.14098,0.11669,0.19072,0.11146,0.62127,0.40353,0.35674,0.19072,0.45155,0.16104,0
0.59684,0.6,9,0,0,0.01711,0.00062,0.24099,0.09508,0.05086,0.0389,0.0729,0.03897,0.73507,0.24941,0.48956,0.0729,0.5,0.15589,0
0.81818,0.09583,9,0,0,0.05894,0.00175,0.00994,0.00036,0.1007,0.07861,0.13918,0.08106,0.64925,0.34,0.43074,0.13918,0.47996,0.14803,0
0.87352,0.2125,9,0,0,0.00951,0.00025,0.01491,4e-04,0.04467,0.02998,0.07585,0.02572,0.71828,0.29176,0.43833,0.07585,0.68081,0.16956,0
0.48221,0.5875,9,0,0,0,0,0,0,0,0,0,0,0.83396,0.13176,0.57875,0,0,0.51105,0
0.0751,0.5125,9,0,0,0.02281,9e-05,0.01366,0.00017,0.02066,0.0081,0.04271,0.00935,0.74067,0.24235,0.49526,0.04271,0.82923,0.15295,0
0.87747,0.2125,9,0,0,0.01141,3e-04,0.00994,0.00036,0.04493,0.02998,0.07585,0.0265,0.71642,0.29059,0.44213,0.07585,0.67037,0.16712,0
0.72332,0.55833,9,0,0,0.02471,0.00062,0.00497,2e-04,0.00387,0.00243,0.0081,0.00078,0.82276,0.15294,0.55598,0.0081,0.52778,0.18857,0
0.88538,0.19583,9,0,0,0.01141,0.00043,0.00994,0.00025,0.05809,0.04052,0.09352,0.03741,0.69403,0.31529,0.42505,0.09352,0.62222,0.16379,0
0.2253,0.425,9,0,0,0.11787,0.00123,0.01615,0.00028,0.14537,0.12318,0.18851,0.12081,0.63433,0.37294,0.39279,0.18851,0.41481,0.15419,0
0.62846,0.125,9,0,0,0.02852,0.00082,0.00497,0.00012,0.00491,0.00405,0.0081,0.00234,0.82649,0.14824,0.55977,0.0081,0.53704,0.2013,0
0.62846,0.4125,9,0,0,0.02852,7e-04,0.00994,2e-04,0.2205,0.19854,0.26068,0.19875,0.61194,0.37647,0.40987,0.26068,0.30744,0.14386,0
0.73123,0.00417,9,0,0,0.01521,0.00027,0.05217,0.00142,0.04364,0.02836,0.07511,0.02494,0.71455,0.29294,0.44023,0.07511,0.6873,0.16556,0
0.55731,0.41667,9,0,0,0.03802,0.00046,0.01242,0.00025,0.20036,0.17909,0.23785,0.18083,0.62313,0.35882,0.42694,0.23785,0.31548,0.14127,0
0.99209,0.525,9,0,0,0.03042,0.00055,0.01366,0.00051,0.00516,0.00243,0.01178,0.00078,0.81343,0.16471,0.54649,0.01178,0.75,0.17402,0
0.81028,0.20833,9,0,0,0.01901,0.00041,0.01118,0.00033,0.04932,0.03404,0.081,0.0304,0.71269,0.29529,0.43833,0.081,0.64589,0.16712,0
0.94071,0.34167,9,0,0,0.11787,0.01361,0.0236,0.00062,0.10044,0.07212,0.15169,0.07327,0.60634,0.40118,0.37571,0.15169,0.577,0.15221,0
0.81423,0.43333,9,0,0,0.03612,0.00033,0.00373,2e-05,0.00852,0.00324,0.01915,0.00234,0.79478,0.18471,0.53321,0.01915,0.93333,0.16429,0
0.35178,0.5125,9,0,0,0.01331,2e-05,0.02112,0.00011,0.01472,0.00729,0.03093,0.00468,0.77799,0.21294,0.50474,0.03093,0.88148,0.17309,0
0.33597,0.775,9,0.33333,0.5,0.05513,0.00146,0.02857,8e-04,0.44074,0.41005,0.51546,0.39049,0.48134,0.59412,0.19165,0.51546,0.28533,0.16388,5
0.01186,0.74167,9,0,0,0.07034,0.00392,0.26211,0.08266,0.18435,0.17099,0.2187,0.16056,0.68284,0.34,0.39658,0.2187,0.27147,0.15834,5
0.52569,0.73333,9,0,0,0.06464,0.00153,0.0472,0.00129,0.41389,0.38412,0.49116,0.36009,0.49627,0.6,0.16698,0.49116,0.30746,0.16967,5
0.99209,0.79167,9,0,0,0.15779,0.00554,0.12422,0.00418,0.28092,0.26094,0.32474,0.25331,0.60634,0.40824,0.36433,0.32474,0.27537,0.14578,5
0.86166,0.6875,9,0,0.5,0.07224,0.00187,0.11429,0.00205,0.42035,0.38898,0.50147,0.36399,0.48321,0.62,0.14801,0.50147,0.31446,0.17015,5
0.80632,0.74583,9,0,0,0.04373,0.00101,0.03602,0.00081,0.34495,0.32658,0.40206,0.30164,0.59701,0.48706,0.24668,0.40206,0.29079,0.17738,5
0.79447,0.75833,9,0,0,0.03802,0.00076,0.07578,0.0018,0.29073,0.27634,0.33579,0.25643,0.64179,0.41647,0.31499,0.33579,0.27839,0.17647,5
0.87747,0.625,9,0,0,0.04753,0.00307,0.20124,0.02238,0.29305,0.26256,0.3461,0.26578,0.52985,0.45529,0.36622,0.3461,0.30842,0.1279,5
0.33992,0.77083,9,0.33333,0,0.04563,0.00088,0.04969,0.0012,0.42938,0.40113,0.50147,0.37958,0.50187,0.57882,0.19545,0.50147,0.28753,0.16711,5
0.41107,0.75833,9,0,0,0.11027,0.00192,0.0646,0.00157,0.41906,0.38736,0.49779,0.36555,0.48134,0.60824,0.16888,0.49779,0.30847,0.16728,5
